Year,Buy_and_Hold,Linear_Baseline,FinALFA_0.1pct_TC,FinALFA_Frictionless
2005,1.0,1.0,1.0,1.0
2006,1.3986388800733447,0.999,1.3986388800733447,1.3986388800733447
2007,2.1424576107247164,1.5287540396765975,2.1424576107247164,2.1424576107247164
2008,1.031809370619194,1.5272252856369208,2.140315153113992,2.1424576107247164
2009,1.7691173391542245,1.5272252856369208,3.666066899266341,3.6734100459481915
2010,2.0742040283325527,1.7888067641192893,4.298285117837498,4.306894600143184
2011,1.557707822563697,1.78701795735517,4.293986832719661,4.306894600143184
2012,1.9838291161862731,2.2735926888170557,5.4631667401917285,5.485074148274749
2013,2.1015583905556796,2.271319096128239,5.4577035734515364,5.485074148274749
2014,2.762225398340995,2.271319096128239,5.4577035734515364,5.485074148274749
2015,2.649639038400167,2.271319096128239,5.4577035734515364,5.485074148274749
2016,2.7237059524482756,2.271319096128239,5.604655696409492,5.638401642925895
2017,3.5066361358820286,2.9212863164731395,7.215715843533153,7.259162073618157
2018,3.6501200567124212,3.0408189963159855,7.510967235667598,7.556191190955998
2019,4.071117900303592,3.391541224711159,8.377267784792009,8.42770778430889
2020,4.672386841992181,3.892442562577899,9.614517861688133,9.672407413360215
2021,5.784130604221161,4.818607044484427,11.90218808700138,11.973851829498429
2022,5.941518341320086,4.949722627895853,12.226049800665288,12.299663532717453
2023,7.0953629042840225,5.910960179357872,14.600352172319614,14.688261712212205
2024,7.716365027859334,6.428300711937826,15.87820784034803,15.97381142093907
2025,8.125292172239515,6.4218724112258885,16.719670130764037,16.820340203033798
2026,8.125292172239515,6.4218724112258885,16.70295046063327,16.820340203033798
